#Wavelength [um], Background [J/s/m2/um/steradian]
0.39393939393939403, 0.0000012472674708860454
0.4848484848484853, 0.0000014505220472224793
0.666666666666667, 0.0000013211028793786207
0.9090909090909096, 8.788688853275491e-7
1.1515151515151518, 5.779110980059382e-7
1.5151515151515156, 3.3819757779084787e-7
1.7575757575757578, 2.3028144882242643e-7
2, 1.531956393383773e-7
2.242424242424243, 1.067667133629392e-7
2.4848484848484853, 7.185778552210607e-8
2.5151515151515156, 5.372551581523075e-8
2.9393939393939394, 2.9660352528792096e-8
3.0606060606060606, 2.578979033551651e-8
3.2727272727272734, 2.268182482718246e-8
3.424242424242424, 2.2152560755939158e-8
3.6060606060606064, 2.3743422025354133e-8
3.8181818181818183, 2.7604864117983746e-8
4.090909090909091, 3.6047217566964175e-8
4.393939393939394, 4.7068165596092394e-8
4.696969696969697, 6.00456827824009e-8
5, 8.309785964201096e-8
5.484848484848484, 1.2470037761307706e-7
6.030303030303031, 1.828030641329442e-7
